# simp: 
# trad: 
# prop: 
# ./table/freq_simp.txt total freq: 0
# ./table/freq_simp.txt total freq: 0
帝	299415
河	299414
威	299413
巴	299412
划	299411
致	299410
案	299409
革	299408
底	299407
送	299406
冲	299405
音	299404
态	299403
够	299402
段	299401
构	299400
群	299399
船	299398
责	299397
苦	299396
章	299395
律	299394
愿	299393
围	299392
京	299391
衣	299390
喜	299389
独	299388
效	299387
斗	299386
细	299385
怕	299384
志	299383
米	299382
晚	299381
热	299380
项	299379
料	299378
例	299377
灵	299376
密	299375
害	299374
供	299373
属	299372
验	299371
境	299370
毛	299369
般	299368
居	299367
继	299366
错	299365
沉	299364
采	299363
既	299362
察	299361
否	299360
批	299359
脑	299358
夜	299357
股	299356
速	299355
纪	299354
续	299353
假	299352
帮	299351
乐	299350
陆	299349
型	299348
退	299347
友	299346
铁	299345
汉	299344
暗	299343
状	299342
左	299341
句	299340
雷	299339
网	299338
率	299337
值	299336
普	299335
承	299334
停	299333
试	299332
弹	299331
止	299330
职	299329
药	299328
久	299327
印	299326
卫	299325
助	299324
掌	299323
织	299322
阳	299321
待	299320
初	299319
追	299318
木	299317
哈	299316
您	299315
预	299314
刻	299313
创	299312
诉	299311
简	299310
射	299309
限	299308
球	299307
差	299306
树	299305
校	299304
兰	299303
怪	299302
阵	299301
异	299300
宗	299299
波	299298
育	299297
激	299296
担	299295
顿	299294
游	299293
充	299292
银	299291
适	299290
省	299289
胡	299288
食	299287
警	299286
素	299285
尼	299284
排	299283
负	299282
背	299281
忽	299280
酒	299279
穿	299278
福	299277
弟	299276
怀	299275
欢	299274
环	299273
招	299272
模	299271
胜	299270
痛	299269
习	299268
险	299267
财	299266
益	299265
宝	299264
脚	299263
疑	299262
乱	299261
赶	299260
坚	299259
获	299258
劳	299257
挥	299256
敢	299255
置	299254
右	299253
压	299252
香	299251
层	299250
略	299249
静	299248
村	299247
范	299246
源	299245
副	299244
州	299243
纳	299242
岁	299241
罪	299240
余	299239
闻	299238
占	299237
玉	299236
哥	299235
杨	299234
忙	299233
兄	299232
守	299231
跑	299230
述	299229
座	299228
田	299227
摇	299226
超	299225
演	299224
皮	299223
喝	299222
买	299221
佛	299220
室	299219
角	299218
卡	299217
封	299216
策	299215
块	299214
富	299213
判	299212
配	299211
姑	299210
优	299209
征	299208
善	299207
刀	299206
娘	299205
降	299204
恶	299203
宣	299202
慢	299201
积	299200
草	299199
恐	299198
妈	299197
读	299196
靠	299195
阶	299194
楚	299193
姐	299192
爸	299191
执	299190
呼	299189
